Export Country/Territory,Import Country/Territory,Trade_Value
Brazil,Haiti,450560355.97
Brazil,Hong Kong SAR,5949846148.88
Brazil,Hungary,724638.16
Brazil,India,6911578.08
Brazil,Indonesia,819034991.88
Brazil,Iran,1639679.8
Brazil,Iraq,267082774.93
Brazil,Ireland,338721913.02
Brazil,Israel,1907022206.8899999
Brazil,Italy,4031070916.8
Brazil,Jamaica,134305147.25
Brazil,Japan,1675998186.01
Brazil,Jordan,398495894.79
Brazil,Kenya,5696789.5
Brazil,Kiribati,2688459.35
Brazil,Kuwait,379495643.59
Brazil,Laos,214211.29
Brazil,Latvia,357.22
Brazil,Lebanon,162523664.7
Brazil,Liberia,182581563.60999998
Brazil,Libya,715444756.42
Brazil,Lithuania,62097.05
Brazil,Macao SAR,9533485.08
Brazil,"Macedonia, North",2394887.46
Brazil,Malawi,761999.4
Brazil,Malaysia,891586480.63
Brazil,Maldives,148988121.44
Brazil,Malta,38132237.29
Brazil,Marshall Islands,23992120.28
Brazil,Martinique,6750.57
Brazil,Mauritius,159267489.4
Brazil,Mayotte,100285364.63
Brazil,Mexico,306665320.27
Brazil,Micronesia,2558490.12
Brazil,Montenegro,2964301.03
Brazil,Montserrat,184068.66999999998
Brazil,Morocco,79010475.02
Brazil,Mozambique,24181736.97
Brazil,Myanmar,1261904.44
Brazil,Namibia,2665359.71
Brazil,Netherlands,4365501619.02
Brazil,New Caledonia,896088.02
Brazil,New Zealand,12999683.01
Brazil,Niger,1900294.92
Brazil,Nigeria,208352868.27
Brazil,Niue,4752.84
Brazil,Norway,39693867.57
Brazil,"Oceania, nes.",2342692.44
Brazil,Oman,92227406.1
Brazil,Palau,26143.52
Brazil,Panama,47734287.02
Brazil,Paraguay,410291558.33
Brazil,Peru,205568405.2
Brazil,Philippines,8002318052.22
Brazil,Poland,25950.16
Brazil,Portugal,145677947.02
Brazil,Qatar,487172539.63
Brazil,Romania,58409661.03
Brazil,Russia,2675404474.28
Brazil,Rwanda,8162106.91
Brazil,Saudi Arabia,1972176264.43
Brazil,Senegal,55587159.21
Brazil,Serbia,143961184.26
Brazil,Seychelles,86362628.48
Brazil,Sierra Leone,151391518.03
Brazil,Singapore,5758353906.47
Brazil,Slovakia,5698002.0
Brazil,Somalia,31184.12
Brazil,South Africa,436823538.18
Brazil,South Korea,685013138.16
Brazil,South Sudan,271901.15
Brazil,Spain,901403824.66
Brazil,Sri Lanka,4093151.09
Brazil,St Kitts and Nevis,597770.25
Brazil,St Lucia,4409599.62
Brazil,St Maarten,66364649.49
Brazil,St Vincent and the Grenadines,2903269.7
Brazil,Sudan,719397.84
Brazil,Suriname,88611025.98
Brazil,Sweden,52845356.61
Brazil,Switzerland,109944600.78
Brazil,São Tomé and Príncipe,1599875.86
Brazil,Taiwan,4384284.87
Brazil,Tanzania,19107681.94
Brazil,Thailand,172534978.1
Brazil,Togo,21761105.21
Brazil,Tonga,31849712.66
Brazil,Trinidad and Tobago,76167788.84
Brazil,Tunisia,60360674.07
Brazil,Turkey,509745462.37
Brazil,Turks and Caicos Islands,904556.39
Brazil,Ukraine,1347272.31
Brazil,United Arab Emirates,6241839178.28
Brazil,United Kingdom,4069310532.94
Brazil,United States,13485779087.77
Brazil,Uruguay,3544754900.2799997
Brazil,Vanuatu,19731.64
Brazil,Venezuela,590974796.94
Brazil,Vietnam,2403206472.43
Brazil,Western Samoa,40776798.81
Brazil,Yemen,7665827.16
British Virgin Islands,Montserrat,11664.18
Brunei,United Arab Emirates,1576567.77
Bulgaria,Albania,2039530.53
Bulgaria,Austria,1255267.72
Bulgaria,Azerbaijan,378955.09
Bulgaria,Belgium,138563267.45
Bulgaria,Croatia,4632429.94
Bulgaria,Cyprus,35735205.34
Bulgaria,Czechia,1324192.25
Bulgaria,Denmark,37997510.18
Bulgaria,France,208430770.76
Bulgaria,Georgia,74383.43
Bulgaria,Germany,35722895.99
Bulgaria,Greece,233780840.5
Bulgaria,Hungary,4256942.61
Bulgaria,Iceland,2923352.86
Bulgaria,Ireland,1339722.8
Bulgaria,Italy,2771972.88
Bulgaria,Japan,949037.2
Bulgaria,Kosovo,1502984.04
Bulgaria,"Macedonia, North",23138223.29
Bulgaria,Malta,1426908.76
Bulgaria,Montenegro,1003355.38
Bulgaria,Netherlands,81439990.71000001
Bulgaria,New Zealand,234922.79
Bulgaria,Poland,10784589.31
Bulgaria,Portugal,401346.69
Bulgaria,Romania,211924351.55
Bulgaria,Russia,57522.31
Bulgaria,Serbia,82305388.15
Bulgaria,Slovakia,242160.45
Bulgaria,Slovenia,19993181.56
Bulgaria,Spain,119908061.13
Bulgaria,Sweden,1104962.35
Bulgaria,Switzerland,52092.16
Bulgaria,Ukraine,32603216.65
Bulgaria,United Arab Emirates,2434.38
Bulgaria,United Kingdom,379464568.31
Cambodia,France,364392.27
Cambodia,Guatemala,3785.26
Cameroon,Belgium,475.49
Cameroon,Central African Republic,5710.5
Cameroon,"Congo, Republic of the",1586.12
Cameroon,Ireland,1330.31
Cameroon,Kuwait,325.09
Cameroon,Lebanon,50312.08
Canada,Albania,22097113.62
Canada,Angola,14363368.85
Canada,Anguilla,17565.42
Canada,Antigua and Barbuda,3967479.48
Canada,Armenia,79439667.52
Canada,Australia,622523380.07
Canada,Austria,6576246.7299999995
Canada,Bahamas,36930994.75
Canada,Barbados,57213257.39
Canada,Belgium,2527274.93
Canada,Bermuda,102509.08
Canada,Brazil,109235.08
Canada,Cambodia,4695588.96
Canada,Cayman Islands,542645.78
Canada,Chile,84252100.49
Canada,China (mainland),1853712937.64
Canada,Colombia,422343470.67
Canada,"Congo, D.R.",681627.6
Canada,"Congo, Republic of the",8724434.15
Canada,Costa Rica,13397417.98
Canada,Cuba,170761524.47
Canada,Curacao,2321276.04
Canada,Côte d'Ivoire,16035888.25
Canada,Denmark,2371198.86
Canada,Dominica,3638962.05
Canada,Dominican Republic,94002031.69
Canada,Equatorial Guinea,716007.09
Canada,France,4210205.26
Canada,French Polynesia,6232867.390000001
Canada,Gabon,5280230.43
Canada,Georgia,42178219.86
Canada,Germany,6670603.28
Canada,Grenada,2487804.55
Canada,Guatemala,40919.18
Canada,Guinea,759713.09
Canada,Haiti,1982387.09
Canada,Honduras,27415535.310000002
Canada,Hong Kong SAR,358221622.08
Canada,Hungary,3488093.15
Canada,Ireland,81487.83
Canada,Italy,40718436.36
Canada,Jamaica,55937948.06
Canada,Japan,7070257494.56
Canada,Jordan,1011419.29
Canada,Kazakhstan,2313410.75
Canada,Liberia,301175.72
Canada,Macao SAR,4049654.27
Canada,"Macedonia, North",24336286.21
Canada,Malaysia,10769531.66
Canada,Malta,17.14
Canada,Mexico,630263203.03
Canada,Moldova,1376382.17
Canada,Netherlands,2190782.81
Canada,New Zealand,226259796.76
Canada,Nicaragua,7570.32
Canada,Norway,3971155.9
Canada,Pakistan,40334221.93
Canada,Panama,127829165.62
Canada,Peru,27887522.59
Canada,Philippines,1175762864.68
Canada,Romania,1559693.19
Canada,Saudi Arabia,125186419.2
Canada,Sierra Leone,307103.12
Canada,Singapore,77835780.22
Canada,South Korea,4402341328.27
Canada,Spain,218844.73
Canada,St Lucia,428354.96
Canada,St Pierre and Miquelon,3610626.28
Canada,St Vincent and the Grenadines,54558.19
